Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),predicted label
10.73985796,2.943481343,-8.537865729,0.8096988885,9.067240259,0.0
10.74983196,8.598453993,-15.17392223,3.097472445,17.71371396,0.0
10.75980596,13.81387039,-18.74178914,7.357333939,24.41737165,0.0
10.76978096,14.1158592,-17.23265669,9.811277032,24.34097563,0.0
10.77975496,12.69511327,-19.03297697,9.066993138,24.6095607,0.0
10.78972896,13.45894206,-24.11731809,8.772102849,28.97823221,0.0
10.79970296,13.67853425,-21.95080541,10.63794819,27.96615989,0.0
10.80967796,14.17016814,-18.21725764,11.26717877,25.68290206,0.0
10.81965196,14.53916019,-16.8088201,10.80357175,24.71114677,0.0
10.82962596,14.53679558,-15.54855567,10.06385804,23.54479237,0.0
10.83960096,14.78884449,-14.505313,9.12445548,22.63558513,0.0
10.84957496,14.31183565,-12.52367407,8.036454123,20.64595958,0.0
10.85954896,12.56562901,-9.194477642,6.76701308,16.97721761,0.0
10.86952296,10.33832985,-5.732451766,4.892330253,12.79362977,0.0
10.87949796,8.33327867,-3.03421902,2.600714053,9.24195499,0.0
10.88947196,6.322246376,-0.7429863971,0.370805566,6.376544894,0.0
10.89944596,4.358240313,1.345207509,-1.746087352,4.883918807,0.0
10.90942096,2.363393696,3.079052546,-4.02219469,5.589655129,1.0
10.91939496,0.5268206817,4.40720899,-6.378999451,7.771271782,1.0
10.92936896,-1.202935397,5.549667805,-8.558905181,10.27135455,1.0
10.93934396,-2.794592521,6.742692756,-10.23449499,12.57054258,1.0
10.94931796,-4.046742763,7.692577617,-11.49331632,14.41000338,1.0
10.95929196,-4.803552563,8.082413823,-12.19829523,15.40123167,1.0
10.96926596,-5.046945838,8.277169374,-12.21900022,15.59766526,1.0
10.97924096,-5.141050926,8.645905902,-12.04444096,15.69237558,1.0
10.98921496,-5.101746528,9.012636251,-11.68138968,15.61122335,0.0
10.99918896,-5.089774354,9.291621528,-11.03693529,15.29882264,0.0
11.00916296,-4.932379587,9.364463802,-9.953619311,14.52914616,0.0
11.01913796,-4.760308895,9.096699917,-8.866275181,13.56544602,0.0
11.02911196,-4.503307979,8.818438525,-7.827944752,12.62225653,0.0
11.03908596,-4.224953617,8.356152978,-6.924824753,11.64597456,0.0
11.04906096,-4.098228081,7.886671262,-6.040823395,10.74646939,0.0
11.05903496,-3.966113167,7.412870793,-5.296933018,9.936710042,0.0
11.06900896,-3.787183691,7.072980918,-4.739144897,9.318224817,0.0
11.07898296,-3.713903461,6.822575662,-4.220588086,8.840474047,0.0
11.08895796,-3.814344007,6.555048589,-3.684514185,8.431697753,0.0
11.09893196,-4.081823133,6.362800325,-3.207333148,8.211789938,1.0
11.10890596,-4.430473307,6.28283088,-2.81998347,8.18873399,1.0
11.11888096,-4.787810689,6.253301271,-2.486261238,8.258837868,1.0
11.12885496,-5.091529103,6.175583004,-2.068434118,8.266795858,1.0
11.13882896,-5.285532117,6.045657288,-1.574028938,8.183177189,1.0
11.14880296,-5.442020565,5.911514559,-1.165695211,8.119140197,1.0
11.15877796,-5.521525741,5.607383916,-0.8469985695,7.915011527,1.0
11.16875196,-5.615129138,5.35728447,-0.6331144376,7.786591425,1.0
11.17872596,-5.844120721,5.33459201,-0.57575486,7.933669553,1.0
11.18870096,-6.091263231,5.173612316,-0.6880677398,8.021420657,1.0
11.19867496,-6.083434394,4.693398036,-0.9042496812,7.736525489,1.0
11.20864896,-5.644303236,3.578796526,-1.228185428,6.795173511,1.0
11.21862296,-4.820570884,1.630271552,-1.435169846,5.287286777,1.0
11.22859796,-3.200088741,-1.057777099,-1.4288607,3.660751731,1.0
11.23857196,-0.3785434788,-4.618115427,-1.286263044,4.808820841,1.0
11.24854596,3.548144837,-9.310502772,-0.393381958,9.971436357,1.0
11.25851996,7.856075122,-14.03736852,2.09064272,16.22148015,0.0
11.26849496,10.74470666,-17.54413085,6.32243758,21.52251067,0.0
11.27846896,10.56818039,-19.7830882,10.08518517,24.59203073,0.0
11.28844296,11.07661684,-22.73392534,9.501626033,27.01487922,0.0
11.29841796,15.29919765,-25.04491804,8.708252424,30.61285725,0.0
11.30839196,19.12150966,-23.43239162,11.63506102,32.40499581,0.0
11.31836596,19.59127731,-20.80341096,13.04817049,31.41424529,0.0
11.32833996,18.05750002,-18.22822702,11.54358367,28.13531395,0.0
11.33831496,16.87258281,-15.96629713,9.799755678,25.21193976,0.0
11.34828896,16.21131184,-13.55822545,8.797641149,22.89171463,0.0
11.35826296,15.14669642,-10.37310441,7.660613812,19.8924285,0.0
11.36823796,13.40868641,-6.863599727,6.281694181,16.32058683,0.0
11.37821196,11.47618632,-3.560007668,4.783031759,12.93266793,0.0
11.38818596,9.809311198,-0.6533398104,2.673311913,10.18803395,0.0
11.39815996,8.505095594,2.181854607,0.1607399583,8.781968909,0.0
11.40813496,7.075988726,4.799701586,-2.655745708,8.953197029,0.0
11.41810896,5.033204296,6.875352631,-5.329224266,10.05008709,0.0
11.42808296,2.902056744,8.338684421,-7.114776816,11.33911991,0.0
11.43805696,0.4438598013,9.58058157,-7.70725939,12.30391816,0.0
11.44803196,-1.659897054,10.55279753,-7.875728783,13.27192141,0.0
11.45800596,-2.813039317,10.62596725,-7.848117646,13.50619564,0.0
11.46797996,-3.299996021,10.20728088,-7.503090992,13.09102483,0.0
11.47795496,-3.551105867,10.12658463,-7.090018535,12.86182071,0.0
11.48792896,-3.949267339,10.49630875,-7.126137371,13.28725117,0.0
11.49790296,-4.210254886,10.46163242,-7.38524153,13.4801258,0.0
11.50787696,-4.325445035,10.02574589,-7.406345885,13.19390066,0.0
11.51785196,-4.556183766,9.819695853,-6.996898702,12.88960157,0.0
11.52782596,-4.819926521,9.676402817,-6.568668509,12.6495798,0.0
